order_id,product_id,rank
251,1,1
251,2,2
251,3,3
251,4,4
251,5,5
251,6,6
251,7,7
251,8,8
251,9,9
251,10,10
251,11,11
426,12,1
426,13,2
426,6,3
426,14,4
426,11,5
426,15,6
426,16,7
426,17,8
426,18,9
426,19,10
431,4,1
431,20,2
431,21,3
431,22,4
431,23,5
431,24,6
431,25,7
431,1,8
431,26,9
431,27,10
431,7,11
431,28,12
655,3,1
655,13,2
655,8,3
655,2,4
655,29,5
655,23,6
655,15,7
655,12,8
655,30,9
655,31,10
784,32,1
784,33,2
784,4,3
784,23,4
784,26,5
784,12,6
784,34,7
784,35,8
784,3,9
784,36,10
970,31,1
970,37,2
970,1,3
970,38,4
970,39,5
970,9,6
970,16,7
970,30,8
970,34,9
970,36,10
970,6,11
1002,4,1
1002,12,2
1002,30,3
1002,8,4
1002,28,5
1002,40,6
1002,41,7
1002,2,8
1002,10,9
1002,42,10
1002,35,11
1002,7,12
1002,36,13
1248,10,1
1248,4,2
1248,27,3
1248,2,4
1248,42,5
1248,7,6
1248,28,7
1248,3,8
1248,43,9
1248,6,10
1562,15,1
1562,43,2
1562,33,3
1562,44,4
1562,4,5
1562,18,6
1562,42,7
1562,5,8
1562,6,9
1562,24,10
1605,12,1
1605,45,2
1605,46,3
1605,16,4
1605,6,5
1605,2,6
1605,1,7
1605,9,8
1605,36,9
1605,29,10
1715,14,1
1715,47,2
1715,31,3
1715,24,4
1715,1,5
1715,48,6
1715,38,7
1715,11,8
1715,36,9
1715,49,10
1859,13,1
1859,11,2
1859,35,3
1859,2,4
1859,25,5
1859,40,6
1859,3,7
1859,9,8
1859,28,9
1859,1,10
2511,31,1
2511,38,2
2511,35,3
2511,48,4
2511,50,5
2511,32,6
2511,29,7
2511,3,8
2511,12,9
2511,1,10
2511,28,11
2511,8,12
2511,23,13
2712,31,1
2712,51,2
2712,23,3
2712,46,4
2712,15,5
2712,35,6
2712,6,7
2712,39,8
2712,11,9
2712,27,10
2717,52,1
2717,6,2
2717,9,3
2717,2,4
2717,10,5
2717,8,6
2717,42,7
2717,40,8
2717,28,9
2717,37,10
2717,3,11
2717,53,12
2717,36,13
2752,40,1
2752,15,2
2752,50,3
2752,28,4
2752,2,5
2752,4,6
2752,7,7
2752,32,8
2752,8,9
2752,9,10
2752,54,11
2752,12,12
2765,41,1
2765,2,2
2765,12,3
2765,22,4
2765,15,5
2765,53,6
2765,37,7
2765,50,8
2765,4,9
2765,17,10
2765,35,11
2875,20,1
2875,23,2
2875,15,3
2875,51,4
2875,54,5
2875,4,6
2875,12,7
2875,44,8
2875,1,9
2875,17,10
4122,22,1
4122,31,2
4122,23,3
4122,33,4
4122,55,5
4122,38,6
4122,42,7
4122,46,8
4122,45,9
4122,36,10
4298,56,1
4298,45,2
4298,53,3
4298,18,4
4298,54,5
4298,40,6
4298,27,7
4298,49,8
4298,13,9
4298,12,10
4332,4,1
4332,39,2
4332,50,3
4332,41,4
4332,20,5
4332,7,6
4332,42,7
4332,37,8
4332,1,9
4332,23,10
4332,15,11
4406,57,1
4406,7,2
4406,51,3
4406,2,4
4406,32,5
4406,25,6
4406,29,7
4406,58,8
4406,39,9
4406,5,10
4775,4,1
4775,3,2
4775,11,3
4775,36,4
4775,15,5
4775,12,6
4775,6,7
4775,29,8
4775,16,9
4775,19,10
5008,15,1
5008,3,2
5008,13,3
5008,31,4
5008,11,5
5008,41,6
5008,48,7
5008,28,8
5008,26,9
5008,52,10
5085,39,1
5085,14,2
5085,29,3
5085,35,4
5085,7,5
5085,24,6
5085,27,7
5085,18,8
5085,26,9
5085,6,10
5268,5,1
5268,29,2
5268,59,3
5268,28,4
5268,49,5
5268,12,6
5268,60,7
5268,25,8
5268,9,9
5268,3,10
5268,27,11
5268,23,12
5514,35,1
5514,11,2
5514,13,3
5514,23,4
5514,3,5
5514,1,6
5514,28,7
5514,7,8
5514,48,9
5514,39,10
5514,40,11
5514,29,12
5996,21,1
5996,2,2
5996,28,3
5996,4,4
5996,41,5
5996,1,6
5996,58,7
5996,27,8
5996,37,9
5996,50,10
6787,51,1
6787,22,2
6787,31,3
6787,23,4
6787,1,5
6787,20,6
6787,5,7
6787,50,8
6787,17,9
6787,56,10
6895,61,1
6895,46,2
6895,38,3
6895,44,4
6895,49,5
6895,13,6
6895,27,7
6895,12,8
6895,33,9
6895,31,10
6939,23,1
6939,31,2
6939,21,3
6939,39,4
6939,8,5
6939,54,6
6939,50,7
6939,53,8
6939,37,9
6939,13,10
6939,42,11
6939,1,12
6939,33,13
6939,9,14
6939,57,15
7004,38,1
7004,21,2
7004,13,3
7004,11,4
7004,3,5
7004,36,6
7004,18,7
7004,47,8
7004,14,9
7004,52,10
7339,39,1
7339,59,2
7339,55,3
7339,37,4
7339,29,5
7339,11,6
7339,26,7
7339,32,8
7339,50,9
7339,18,10
7368,31,1
7368,1,2
7368,50,3
7368,42,4
7368,23,5
7368,24,6
7368,55,7
7368,52,8
7368,37,9
7368,34,10
7703,12,1
7703,50,2
7703,62,3
7703,15,4
7703,36,5
7703,6,6
7703,7,7
7703,3,8
7703,42,9
7703,37,10
7815,4,1
7815,12,2
7815,23,3
7815,41,4
7815,5,5
7815,26,6
7815,27,7
7815,36,8
7815,52,9
7815,60,10
7815,21,11
7875,2,1
7875,53,2
7875,5,3
7875,30,4
7875,26,5
7875,31,6
7875,46,7
7875,9,8
7875,32,9
7875,40,10
7988,37,1
7988,15,2
7988,12,3
7988,1,4
7988,38,5
7988,53,6
7988,13,7
7988,27,8
7988,14,9
7988,28,10
7988,24,11
7988,59,12
8309,7,1
8309,44,2
8309,3,3
8309,11,4
8309,31,5
8309,42,6
8309,52,7
8309,15,8
8309,55,9
8309,39,10
8309,21,11
8309,46,12
8309,18,13
8309,54,14
8309,1,15
8309,25,16
9098,28,1
9098,29,2
9098,25,3
9098,15,4
9098,53,5
9098,4,6
9098,37,7
9098,32,8
9098,1,9
9098,38,10
9928,39,1
9928,13,2
9928,31,3
9928,17,4
9928,51,5
9928,24,6
9928,38,7
9928,55,8
9928,1,9
9928,18,10
9928,27,11
9947,12,1
9947,15,2
9947,10,3
9947,4,4
9947,40,5
9947,35,6
9947,19,7
9947,7,8
9947,29,9
9947,8,10
9947,57,11
9960,29,1
9960,57,2
9960,8,3
9960,39,4
9960,1,5
9960,4,6
9960,13,7
9960,36,8
9960,54,9
9960,24,10
10029,12,1
10029,57,2
10029,29,3
10029,11,4
10029,21,5
10029,28,6
10029,38,7
10029,8,8
10029,36,9
10029,10,10
10033,44,1
10033,28,2
10033,11,3
10033,35,4
10033,13,5
10033,8,6
10033,54,7
10033,3,8
10033,12,9
10033,26,10
10033,5,11
10072,14,1
10072,1,2
10072,39,3
10072,36,4
10072,25,5
10072,61,6
10072,51,7
10072,22,8
